domain,countryCode,LON,PageViewsEnglish,birthyear,birthstate,occupation,en_curid,numlangs,birthcity,AverageViews,TotalPageViews,countryName,HPI,countryCode3,PageViewsNonEnglish,name,L_star,gender,industry,StdDevPageViews,continentName,LAT,wikiquote name
PUBLIC FIGURE,PK,72.366667,3388680,1998,,SOCIAL ACTIVIST,33983258,41,Mingora,113839.4146,4667416,Pakistan,12.14292721,PAK,1278736,Malala Yousafzai,3.666891135,Female,ACTIVISM,181157.8787,Asia,34.783333,Malala Yousafzai
ARTS,CA,-81.2497,59787119,1994,,SINGER,23680998,94,London,1208064.543,113558067,CANADA,19.39222745,CAN,53770948,Justin Bieber,6.77110505,Male,MUSIC,1171017.672,North America,42.9837,Justin Bieber
ARTS,US,-104.881105,6424561,1993,CO,ACTOR,1991570,37,Denver,281830.5946,10427732,UNITED STATES,16.00720361,USA,4003171,AnnaSophia Robb,4.531937319,Female,FILM AND THEATRE,74524.3582,North America,39.76185,AnnaSophia Robb
ARTS,US,-106.609991,29050645,1992,NM,SINGER,12520860,84,Albuquerque,635892.8095,53414996,UNITED STATES,19.25114975,USA,24364351,Demi Lovato,5.775025658,Female,MUSIC,313306.1234,North America,35.110703,Demi Lovato
ARTS,US,-97.016944,45645833,1992,TX,SINGER,6844407,96,Grand Prairie,913989.0208,87742946,United States,19.97080402,USA,42097113,Selena Gomez,6.739624416,Female,MUSIC,577493.6444,North America,32.715278,Selena Gomez
ARTS,US,-96.796667,10100698,1992,TX,MUSICIAN,18366271,35,Dallas,491029.6286,17186037,UNITED STATES,16.91449115,USA,7085339,Nick Jonas,4.690814502,Male,MUSIC,102652.1974,North America,32.775833,Nick Jonas
ARTS,US,-86.783333,48648525,1992,TN,ACTOR,8135890,72,Nashville,1277051.847,91947733,UNITED STATES,20.18998484,USA,43299208,Miley Cyrus,6.703493592,Female,FILM AND THEATRE,372942.097,North America,36.166667,Miley Cyrus
ARTS,US,-73.908889,13634955,1991,NY,ACTOR,1434568,32,Rhinebeck,681507.5313,21808241,UNITED STATES,17.04936842,USA,8173286,Emma Roberts,4.321235504,Female,FILM AND THEATRE,131925.9093,North America,41.9275,Emma Roberts
ARTS,GB,-2.009,9493356,1991,,SINGER,30528002,26,Hebden Bridge,510663,13277238,UNITED KINGDOM,14.7260432,GBR,3783882,Ed Sheeran,3.312612519,Male,MUSIC,236456.6222,Europe,53.742,Ed Sheeran
ARTS,GB,-0.1275,4972497,1991,,ACTOR,469704,35,London,269842.1714,9444476,UNITED KINGDOM,16.34385248,GBR,4471979,Bonnie Wright,6.211018812,Female,FILM AND THEATRE,99509.61316,Europe,51.507222,Bonnie Wright
ARTS,US,-119.703056,7521732,1990,CA,ACTOR,24231931,29,Fresno,392159.4828,11372625,UNITED STATES,15.61406521,USA,3850893,Chris Colfer,3.868708796,Male,FILM AND THEATRE,131599.1589,North America,36.825278,Chris Colfer
ARTS,US,-118.25,29122743,1990,CA,ACTOR,2629332,58,Los Angeles,955837.0345,55438548,UNITED STATES,19.22437349,USA,26315805,Kristen Stewart,6.233086233,Female,FILM AND THEATRE,382023.0596,North America,34.05,Kristen Stewart
ARTS,US,-85.766667,22694103,1990,KY,ACTOR,12684530,42,Louisville,834723.4762,35058386,UNITED STATES,16.6124368,USA,12364283,Jennifer Lawrence,4.176870848,Female,FILM AND THEATRE,750482.9416,North America,38.25,Jennifer Lawrence
SPORTS,GB,-3.218,2682563,1990,,SOCCER PLAYER,10983884,37,Caerphilly,117092.5946,4332426,UNITED KINGDOM,15.42324937,GBR,1649863,Aaron Ramsey,5.522874266,Male,TEAM SPORTS,47345.9774,Europe,51.578,Aaron Ramsey
ARTS,FR,2.3508,23324583,1990,,ACTOR,149243,76,Paris,616320.5132,46840359,FRANCE,19.335474,FRA,23515776,Emma Watson,7.132567474,Female,FILM AND THEATRE,387006.8162,Europe,48.8567,Emma Watson
SPORTS,NO,10.423611,2876120,1990,,CHESSMASTER,442682,47,T‰ö_‰önsberg,96977.2766,4557932,Norway,14.74405936,NOR,1681812,Magnus Carlsen,4.989986284,Male,INDIVIDUAL SPORTS,114933.9004,Europe,59.298056,Magnus Carlsen
SPORTS,RU,44.55,825024,1990,,SOCCER PLAYER,16716472,48,Beslan,29928.97917,1436591,Russia,13.61342654,RUS,611567,Alan Dzagoev,5.693952228,Male,TEAM SPORTS,47551.63787,Europe,43.2,Alan Dzagoev
ARTS,AU,144.963056,13331408,1990,,ACTOR,20022961,29,Melbourne,745343.1724,21614952,AUSTRALIA,16.20734614,AUS,8283544,Liam Hemsworth,4.18627417,Male,FILM AND THEATRE,321665.4348,Oceania,-37.813611,Liam Hemsworth
ARTS,US,-118.341389,1335725,1989,CA,ACTOR,766618,26,Los Angeles,119657.5385,3111096,UNITED STATES,15.70856064,USA,1775371,Alyson Michalka,6.650449224,Female,FILM AND THEATRE,27684.07078,North America,33.834722,Alyson Michalka
